sep=;
Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202404111520;15.30;0.00;10.00;409.00;49.50;4.80;82.00;6.50;16.90;968.80;1032.00;1032.90;-;-;-;-;-;-;-;-
COM;202404111520;21.00;0.00;10.00;396.00;40.50;7.10;169.00;14.00;18.40;959.60;1025.20;1027.70;-;-;-;-;-;-;-;-
ABO;202404111520;11.50;0.00;10.00;499.00;65.00;5.20;61.00;11.20;20.50;880.60;-;1032.40;1620.70;-;-;-;-;-;-;-
AIG;202404111520;15.50;0.00;10.00;271.00;56.70;6.90;301.00;8.30;16.20;985.60;1030.80;1031.40;-;-;-;-;-;-;-;-
ALT;202404111520;14.10;0.00;4.00;219.00;56.50;5.60;360.00;6.10;10.10;980.10;1032.20;1032.60;-;-;-;-;-;-;-;-
ARH;202404111520;14.90;0.00;10.00;423.00;53.50;5.50;279.00;10.40;14.00;985.20;1032.50;1032.90;-;-;-;-;-;-;-;-
AND;202404111520;16.00;0.00;10.00;406.00;53.00;6.40;355.00;10.10;16.20;916.40;-;1031.30;1623.20;-;-;-;-;-;-;-
ANT;202404111520;9.40;0.00;10.00;463.00;70.90;4.40;15.00;3.60;6.80;869.70;-;1033.30;1625.50;-;-;-;-;-;-;-
ARO;202404111520;8.10;0.00;10.00;424.00;71.20;3.20;23.00;2.50;5.00;823.50;-;1033.10;1616.30;-;-;-;-;-;-;-
RAG;202404111520;16.30;0.00;10.00;419.00;54.00;7.00;290.00;18.40;27.40;973.00;1031.20;1032.20;-;-;-;-;-;-;-;-
BAN;202404111520;-;-;10.00;251.00;-;-;-;-;-;-;-;-;-;-;42.00;19.80;31.30;10.20;62.50;3.40
BAS;202404111520;16.60;0.00;0.00;354.00;45.40;4.80;321.00;5.80;14.00;994.70;1032.30;1032.90;-;-;-;-;-;-;-;-
LAT;202404111520;12.80;0.00;10.00;428.00;64.80;6.30;232.00;4.00;7.20;-;-;-;-;-;-;-;-;-;-;-
BER;202404111520;14.60;0.00;0.00;167.00;51.90;4.80;18.00;10.40;19.10;966.40;1031.40;1032.20;-;-;-;-;-;-;-;-
BEZ;202404111520;17.40;0.00;10.00;244.00;46.30;5.80;330.00;2.20;5.80;993.40;1032.00;1032.70;-;-;-;-;-;-;-;-
BIA;202404111520;22.60;0.00;10.00;391.00;43.70;9.60;183.00;11.20;20.50;993.00;1025.20;1026.40;-;-;-;-;-;-;-;-
BIN;202404111520;13.10;0.00;-;-;70.40;7.80;82.00;5.00;10.10;-;-;-;-;-;-;-;-;-;-;-
BIZ;202404111520;14.70;0.00;10.00;402.00;46.80;3.50;358.00;8.30;13.30;972.50;1032.30;1033.00;-;-;-;-;-;-;-;-
BIV;202404111520;8.10;0.00;-;-;62.50;1.40;222.00;1.40;3.20;-;-;-;-;-;-;-;-;-;-;-
BIE;202404111520;14.60;0.00;9.00;404.00;47.50;3.60;39.00;11.90;22.00;951.40;-;1032.20;1627.50;-;-;-;-;-;-;-
BLA;202404111520;12.80;0.00;10.00;447.00;41.30;0.00;37.00;10.40;17.60;857.50;-;1031.80;1612.70;-;-;-;-;-;-;-
BOL;202404111520;15.10;0.00;10.00;475.00;56.00;6.40;32.00;22.70;32.80;935.20;-;1031.40;1623.00;-;-;-;-;-;-;-
BOU;202404111520;11.60;-;-;-;78.20;7.90;332.00;6.10;7.90;987.00;1032.00;1031.90;-;-;-;-;-;-;-;-
BRZ;202404111520;-;0.00;-;-;-;-;241.00;5.40;7.20;964.30;-;1031.70;-;-;-;-;-;-;-;-
BUS;202404111520;16.50;0.00;10.00;311.00;44.90;4.50;89.00;6.80;13.00;986.10;1031.90;1032.60;-;-;-;-;-;-;-;-
BUF;202404111520;11.50;0.00;10.00;410.00;43.90;-0.30;63.00;7.60;14.80;814.30;-;1033.10;1609.00;-;-;-;-;-;-;-
FRE;202404111520;9.60;0.00;10.00;526.00;65.40;3.40;124.00;5.40;11.20;894.10;-;1033.10;1624.80;-;-;-;-;-;-;-
CEV;202404111520;21.60;0.00;10.00;378.00;40.00;7.40;257.00;16.60;24.50;976.90;1025.40;1027.10;-;-;-;-;-;-;-;-
